Gene ID	Gene Symbol	
976	ADGRE5	
767591	SNORD114-13	
6624	FSCN1	
654321	SNORA75	
2828	GPR4	
3678	ITGA5	
187	APLNR	
399670	RPL13AP17	
1577	CYP3A5	
57608	JCAD	
5276	SERPINI2	
22899	ARHGEF15	
2615	LRRC32	
101928784	RORA-AS1	
5166	PDK4	
2625	GATA3	
101926962	ADGRF5-AS1	
10157	AASS	
7743	ZNF189	
401024	FSIP2	
2004	ELK3	
100507062	PSMD6-AS2	
2022	ENG	
100131564	CCDC18-AS1	
150709	ANKAR	
5900	RALGDS	
1594	CYP27B1	
2275	FHL3	
595	CCND1	
5288	PIK3C2G	
254773	LYG2	
6693	SPN	
633	BGN	
6483	ST3GAL2	
6263	RYR3	
101929529	GSTCD-AS1	
10349	ABCA10	
54345	SOX18	
170954	PPP1R18	
2796	GNRH1	
7040	TGFB1	
9481	SLC25A27	
59274	TLNRD1	
9351	NHERF2	
10748	KLRA1P	
23500	DAAM2	
100134040	LOC100134040	
379013	RNF138P1	
157381	LINC00964	
5916	RARG	
26789	SNORD59A	
6430	SRSF5	
100033427	SNORD116-15	
11230	PRAF2	
692227	SNORD104	
56892	TCIM	
1052	CEBPD	
4811	NID1	
9672	SDC3	
1536	CYBB	
125111	GJD3	
117283	IP6K3	
54429	TAS2R5	
5287	PIK3C2B	
100874096	DOCK9-AS1	
8751	ADAM15	
100033821	SNORD116-29	
255877	BCL6B	
84168	ANTXR1	
100775107	RBM5-AS1	
4650	MYO9B	
153396	TMEM161B	
284119	CAVIN1	
23208	SYT11	
7837	PXDN	
54790	TET2	
10529	NEBL	
57572	DOCK6	
7805	LAPTM5	
5970	RELA	
83442	SH3BGRL3	
100507308	TARID	
392	ARHGAP1	
109	ADCY3	
55740	ENAH	
203	AK1	
7791	ZYX	
55690	PACS1	
654319	SNORA5A	
84687	PPP1R9B	
65059	RAPH1	
7072	TIA1	
1284	COL4A2	
64411	ARAP3	
5045	FURIN	
7126	TNFAIP1	
1981	EIF4G1	
10443	N4BP2L2	
643432	TSG1	
9448	MAP4K4	
340527	NHSL2	
3059	HCLS1	
1950	EGF	
64319	FBRS	
25960	ADGRA2	
29015	SLC43A3	
83541	FAM110A	
57169	ZNFX1	
1398	CRK	
100874241	STARD13-AS	
57580	PREX1	
90332	EXOC3L2	
7157	TP53	
1282	COL4A1	
25976	TIPARP	
57479	PRR12	
11135	CDC42EP1	
84886	C1orf198	
56005	MYDGF	
57140	RNPEPL1	
25829	TMEM184B	
79940	LINC00472	
619568	SNORA4	
7351	UCP2	
