Gene ID	Gene Symbol	
5166	PDK4	
7743	ZNF189	
23670	CEMIP2	
23175	LPIN1	
10560	SLC19A2	
1524	CX3CR1	
1594	CYP27B1	
26084	ARHGEF26	
9231	DLG5	
2634	GBP2	
80144	FRAS1	
10475	TRIM38	
4069	LYZ	
22982	DIP2C	
963	CD53	
9535	GMFG	
3142	HLX	
23761	PISD	
79745	CLIP4	
23014	FBXO21	
29095	ORMDL2	
51063	CALHM2	
1378	CR1	
962	CD48	
64131	XYLT1	
2717	GLA	
1192	CLIC1	
3055	HCK	
2948	GSTM4	
4208	MEF2C	
10046	MAMLD1	
64061	TSPYL2	
56172	ANKH	
2219	FCN1	
60312	AFAP1	
2207	FCER1G	
3059	HCLS1	
3105	HLA-A	
7305	TYROBP	
10095	ARPC1B	
10513	APPBP2	
10161	LPAR6	
1555	CYP2B6	
1831	TSC22D3	
65124	SOWAHC	
1442	CSH1	
28968	SLC6A16	
64799	IQCH	
80148	SLC66A2	
10114	HIPK3	
10637	LEFTY1	
3043	HBB	
5480	PPIC	
10144	FAM13A	
5698	PSMB9	
4242	MFNG	
23753	SDF2L1	
2752	GLUL	
2987	GUK1	
23410	SIRT3	
23428	SLC7A8	
51155	JPT1	
79608	RIC3	
834	CASP1	
55930	MYO5C	
56892	TCIM	
9510	ADAMTS1	
7940	LST1	
10437	IFI30	
55086	RADX	
107	ADCY1	
79174	CRELD2	
55251	PCMTD2	
3689	ITGB2	
6624	FSCN1	
2289	FKBP5	
4637	MYL6	
51067	YARS2	
29108	PYCARD	
56895	AGPAT4	
10875	FGL2	
2542	SLC37A4	
23221	RHOBTB2	
23411	SIRT1	
4067	LYN	
54494	C11orf71	
55700	MAP7D1	
989	SEPTIN7	
2052	EPHX1	
55295	KLHL26	
1577	CYP3A5	
8897	MTMR3	
84617	TUBB6	
55303	GIMAP4	
4277	MICB	
219899	TBCEL	
4128	MAOA	
473	RERE	
4162	MCAM	
51393	TRPV2	
63928	CHP2	
85377	MICALL1	
23362	PSD3	
5877	RABIF	
29074	MRPL18	
221	ALDH3B1	
837	CASP4	
55187	VPS13D	
8407	TAGLN2	
9858	PPP1R26	
79155	TNIP2	
2263	FGFR2	
149111	CNIH3	
23643	LY96	
10458	BAIAP2	
23589	CARHSP1	
9376	SLC22A8	
2804	GOLGB1	
1353	COX11	
10987	COPS5	
9266	CYTH2	
6282	S100A11	
25837	RAB26	
25816	TNFAIP8	
8725	URI1	
1717	DHCR7	
54407	SLC38A2	
2669	GEM	
81563	C1orf21	
51499	TRIAP1	
26234	FBXL5	
51428	DDX41	
57337	SENP7	
3098	HK1	
54910	SEMA4C	
9771	RAPGEF5	
6223	RPS19	
23336	SYNM	
309	ANXA6	
55851	PSENEN	
2791	GNG11	
4938	OAS1	
9667	SAFB2	
53407	STX18	
10019	SH2B3	
5824	PEX19	
79891	ZNF671	
1475	CSTA	
51021	MRPS16	
8291	DYSF	
5962	RDX	
23580	CDC42EP4	
29761	USP25	
55297	CCDC91	
81617	CAB39L	
2633	GBP1	
8270	LAGE3	
63875	MRPL17	
8237	USP11	
6767	ST13	
27115	PDE7B	
871	SERPINH1	
6038	RNASE4	
6530	SLC6A2	
8417	STX7	
7754	ZNF204P	
5688	PSMA7	
