Gene ID	Gene Symbol	
25976	TIPARP	
439996	IFIT1B	
10426	TUBGCP3	
6446	SGK1	
7763	ZFAND5	
767597	SNORD114-19	
677814	SNORA31	
57018	CCNL1	
8013	NR4A3	
407006	MIR221	
6430	SRSF5	
3039	HBA1	
100302650	BABAM2-AS1	
2827	GPR3	
3164	NR4A1	
24138	IFIT5	
3653	-	
3043	HBB	
85391	SNORD14E	
22936	ELL2	
1655	DDX5	
6928	HNF1B	
374462	PTPRQ	
23461	ABCA5	
84275	SLC25A33	
677847	SNORA81	
57140	RNPEPL1	
4493	MT1E	
10608	MXD4	
1768	DNAH6	
91694	LONRF1	
5519	PPP2R1B	
56005	MYDGF	
1843	DUSP1	
3475	IFRD1	
10891	PPARGC1A	
10370	CITED2	
64651	CSRNP1	
26045	LRRTM2	
3040	HBA2	
10560	SLC19A2	
101928141	LINC01028	
2354	FOSB	
9334	B4GALT5	
84858	ZNF503	
8321	FZD1	
6322	SCML1	
101926962	ADGRF5-AS1	
10171	RCL1	
9302	SNORD26	
11214	AKAP13	
58190	CTDSP1	
79735	TBC1D17	
5033	P4HA1	
10157	AASS	
5166	PDK4	
641451	SNORA19	
85389	SNORD14C	
408263	FNDC9	
55422	ZNF331	
284702	-	
100129195	ZSCAN16-AS1	
9987	HNRNPDL	
64061	TSPYL2	
101927355	EYA2-AS1	
124245	ZC3H18	
101927884	EVA1A-AS	
9295	SRSF11	
25826	SNORD82	
157638	LRATD2	
3949	LDLR	
1831	TSC22D3	
100127888	SLCO4A1-AS1	
27297	CRCP	
125988	MICOS13	
9619	ABCG1	
55204	GOLPH3L	
693197	MIR612	
114789	SLC25A25	
9931	HELZ	
3993	LLGL2	
2286	FKBP2	
100873917	LPP-AS1	
192668	CYS1	
8743	TNFSF10	
102724484	CHN2-AS1	
692090	SNORD59B	
6050	RNH1	
10625	IVNS1ABP	
100507062	PSMD6-AS2	
102724720	LOC102724720	
81603	TRIM8	
26020	LRP10	
642273	FAM110C	
55814	BDP1	
130074	FAM168B	
54464	XRN1	
145624	PWAR1	
55315	SLC29A3	
6101	RP1	
84162	BLTP1	
54964	C1orf56	
9044	BTAF1	
6675	UAP1	
677	ZFP36L1	
65986	ZBTB10	
55620	STAP2	
390059	OR51M1	
1105	CHD1	
257218	SHPRH	
25957	PNISR	
8724	SNX3	
6271	S100A1	
5996	RGS1	
58485	TRAPPC1	
101928461	MAP3K5-AS1	
5144	PDE4D	
23235	SIK2	
2983	GUCY1B1	
646329	-	
3156	HMGCR	
3181	HNRNPA2B1	
23399	CTDNEP1	
54463	RETREG1	
64848	YTHDC2	
10808	HSPH1	
406991	MIR21	
116828	N4BP2L2-IT2	
4947	OAZ2	
92181	UBTD2	
7538	ZFP36	
259292	TAS2R46	
266655	BRD3OS	
23195	MDN1	
9817	KEAP1	
23767	FLRT3	
26001	RNF167	
57448	BIRC6	
645460	-	
58517	RBM25	
401014	TEX41	
26118	WSB1	
4616	GADD45B	
54806	AHI1	
8701	DNAH11	
23466	CBX6	
10979	FERMT2	
58526	MID1IP1	
101927217	LINC01473	
339874	NUDT16-DT	
117283	IP6K3	
348262	MCRIP1	
26084	ARHGEF26	
284361	EMC10	
140803	TRPM6	
170850	KCNG3	
378938	MALAT1	
55111	PLEKHJ1	
65125	WNK1	
407036	MIR32	
253959	RALGAPA1	
202299	LINC01554	
283131	NEAT1	
114803	MYSM1	
221584	ZSCAN12P1	
81545	FBXO38	
4515	MTCP1	
84059	ADGRV1	
9209	LRRFIP2	
7157	TP53	
2050	EPHB4	
4150	MAZ	
27099	SND1-IT1	
57494	RIMKLB	
80144	FRAS1	
84852	ATP1A1-AS1	
8499	PPFIA2	
84460	ZMAT1	
378805	LINC-PINT	
4125	MAN2B1	
1577	CYP3A5	
6811	STX5	
101927244	LINC01788	
100873983	MAGI1-AS1	
23710	GABARAPL1	
5364	PLXNB1	
8473	OGT	
5862	RAB2A	
10975	UQCR11	
23564	DDAH2	
10567	RABAC1	
1647	GADD45A	
8503	PIK3R3	
10461	MERTK	
10014	HDAC5	
767589	SNORD114-11	
1300	COL10A1	
49855	SCAPER	
149483	CCDC17	
29116	MYLIP	
79144	PPDPF	
55652	SLC48A1	
23589	CARHSP1	
23033	DOP1A	
541466	CT45A1	
10984	KCNQ1OT1	
6748	SSR4	
7916	PRRC2A	
3204	HOXA7	
100507321	ERVK13-1	
1509	CTSD	
26789	SNORD59A	
100131117	ZBTB20-AS1	
6328	SCN3A	
5411	PNN	
90632	LINC00473	
6079	SNORD15A	
22877	MLXIP	
8835	SOCS2	
113452	TMEM54	
2150	F2RL1	
3399	ID3	
100505658	DIAPH1-AS1	
60487	TRMT11	
493812	HCG11	
10896	-	
199974	CYP4Z1	
2733	GLE1	
55789	DEPDC1B	
2353	FOS	
