Gene ID	Gene Symbol	
7827	NPHS2	
5166	PDK4	
26577	PCOLCE2	
1154	CISH	
6446	SGK1	
79625	NDNF	
5420	PODXL	
1831	TSC22D3	
1843	DUSP1	
2246	FGF1	
5187	PER1	
53405	CLIC5	
6372	CXCL6	
4739	NEDD9	
5800	PTPRO	
1647	GADD45A	
5650	KLK7	
22820	COPG1	
25976	TIPARP	
5654	HTRA1	
4868	NPHS1	
8835	SOCS2	
9099	USP2	
687	KLF9	
51196	PLCE1	
51673	TPPP3	
9966	TNFSF15	
4057	LTF	
7490	WT1	
7301	TYRO3	
26009	ZZZ3	
7422	VEGFA	
7763	ZFAND5	
140578	CHODL	
4616	GADD45B	
7538	ZFP36	
9040	UBE2M	
23109	DDN	
57089	ENTPD7	
2205	FCER1A	
9806	SPOCK2	
6863	TAC1	
240	ALOX5	
7139	TNNT2	
25816	TNFAIP8	
2004	ELK3	
1028	CDKN1C	
5816	PVALB	
55224	ETNK2	
55316	RSAD1	
3487	IGFBP4	
22936	ELL2	
81575	APOLD1	
8842	PROM1	
1672	DEFB1	
2982	GUCY1A1	
1524	CX3CR1	
10458	BAIAP2	
25926	NOL11	
2532	ACKR1	
65124	SOWAHC	
1359	CPA3	
50486	G0S2	
10190	TXNDC9	
90480	GADD45GIP1	
7049	TGFBR3	
26019	UPF2	
29116	MYLIP	
1462	VCAN	
26012	NSMF	
51458	RHCG	
57820	CCNB1IP1	
5733	PTGER3	
51094	ADIPOR1	
4982	TNFRSF11B	
5763	PTMS	
7837	PXDN	
1212	CLTB	
6016	RIT1	
1804	DPP6	
26278	SACS	
27306	HPGDS	
5653	KLK6	
58486	ZBED5	
55068	ENOX1	
25797	QPCT	
9863	MAGI2	
8445	DYRK2	
655	BMP7	
8503	PIK3R3	
4232	MEST	
23327	NEDD4L	
3574	IL7	
9334	B4GALT5	
399665	EEIG1	
5567	PRKACB	
10979	FERMT2	
24147	FJX1	
7113	TMPRSS2	
55577	NAGK	
801	CALM1	
8576	STK16	
10769	PLK2	
55740	ENAH	
4501	MT1X	
23558	WBP2	
7135	TNNI1	
9828	ARHGEF17	
9245	GCNT3	
5580	PRKCD	
23171	GPD1L	
4728	NDUFS8	
22996	TTC39A	
1351	COX8A	
57194	ATP10A	
23767	FLRT3	
65125	WNK1	
64755	RUSF1	
23208	SYT11	
1116	CHI3L1	
4714	NDUFB8	
6909	TBX2	
2766	GMPR	
9701	PPP6R2	
5514	PPP1R10	
79888	LPCAT1	
1004	CDH6	
10763	NES	
1408	CRY2	
4282	MIF	
5832	ALDH18A1	
23189	KANK1	
4013	VWA5A	
64236	PDLIM2	
60370	AVPI1	
390940	PINLYP	
1537	CYC1	
7384	UQCRC1	
56965	PARP6	
200576	PIKFYVE	
3694	ITGB6	
9448	MAP4K4	
4137	MAPT	
57122	NUP107	
1743	DLST	
7846	TUBA1A	
1052	CEBPD	
10406	WFDC2	
22836	RHOBTB3	
10009	ZBTB33	
28999	KLF15	
25895	EEF1AKMT3	
4023	LPL	
63920	ZBED8	
1490	CCN2	
6041	RNASEL	
1284	COL4A2	
6844	VAMP2	
2289	FKBP5	
55329	MNS1	
10529	NEBL	
2152	F3	
50813	COPS7A	
9674	KIAA0040	
79178	THTPA	
53635	PTOV1	
90865	IL33	
10560	SLC19A2	
54958	TMEM160	
8470	SORBS2	
23014	FBXO21	
3816	KLK1	
57658	CALCOCO1	
3164	NR4A1	
11096	ADAMTS5	
63934	ZNF667	
32	ACACB	
10551	AGR2	
26051	PPP1R16B	
10840	ALDH1L1	
1397	CRIP2	
3570	IL6R	
4069	LYZ	
29066	ZC3H7A	
54541	DDIT4	
29842	TFCP2L1	
525	ATP6V1B1	
23710	GABARAPL1	
259173	ALS2CL	
55119	PRPF38B	
2767	GNA11	
8743	TNFSF10	
10362	HMG20B	
1396	CRIP1	
191	AHCY	
51295	ECSIT	
788	SLC25A20	
2299	FOXI1	
10129	FRY	
10252	SPRY1	
26084	ARHGEF26	
573	BAG1	
8659	ALDH4A1	
56652	TWNK	
27242	TNFRSF21	
51422	PRKAG2	
6003	RGS13	
23371	TNS2	
3485	IGFBP2	
80176	SPSB1	
55764	IFT122	
56649	TMPRSS4	
55974	SLC50A1	
9168	TMSB10	
5033	P4HA1	
54997	TESC	
64761	PARP12	
22925	PLA2R1	
3433	IFIT2	
1290	COL5A2	
8726	EED	
26249	KLHL3	
253982	ASPHD1	
1445	CSK	
23231	SEL1L3	
862	RUNX1T1	
25987	TSKU	
2538	G6PC1	
2746	GLUD1	
7168	TPM1	
51069	MRPL2	
4316	MMP7	
637	BID	
56920	SEMA3G	
81618	ITM2C	
5886	RAD23A	
4897	NRCAM	
4794	NFKBIE	
7096	TLR1	
79154	DHRS11	
6659	SOX4	
10456	HAX1	
64102	TNMD	
5917	RARS1	
80148	SLC66A2	
2983	GUCY1B1	
79693	YRDC	
7980	TFPI2	
10873	ME3	
1282	COL4A1	
7450	VWF	
55729	ATF7IP	
6695	SPOCK1	
6322	SCML1	
978	CDA	
6095	RORA	
55888	ZKSCAN7	
1894	ECT2	
1594	CYP27B1	
10245	TIMM17B	
1489	CTF1	
7771	ZNF112	
51111	KMT5B	
64960	MRPS15	
1579	CYP4A11	
8079	MLF2	
79415	CYBC1	
1056	CEL	
10385	BTN2A2	
6559	SLC12A3	
84525	HOPX	
29946	SERTAD3	
55106	SLFN12	
5359	PLSCR1	
60676	PAPPA2	
1318	SLC31A2	
4722	NDUFS3	
